outer_L,inner,inner_L,inner_R,outer_R,x,stoich,disc_prob,disc_valid,rules,layers,human_valid,reason
Mo,,Zr,Zr,Mo,C,MX3,0.9985647797584534,1,2 5 9 7 46 7 56 6 19,Mo C Zr C Zr C Mo,,
Cr,,Zr,Ti,Cr,C,MX3,0.0006668808637186885,0,2 5 8 7 46 7 55 6 18,Cr C Zr C Ti C Cr,,
Cr,V,,,Cr,N,MX2,0.9399533271789551,1,1 4 8 7 32 7 18,Cr N V N Cr,,
Sc,,Nb,Ti,Sc,C,MX3,0.000829540949780494,0,2 5 11 6 43 6 55 6 21,Sc C Nb C Ti C Sc,,
Nb,Ti,,,Nb,N,MX2,0.998097836971283,1,1 4 13 7 35 7 23,Nb N Ti N Nb,,
Ta,Ti,,,Mo,N,MX2,0.0006234638276509941,0,1 4 14 7 35 7 19,Ta N Ti N Mo,,
Cr,,Zr,Zr,Mo,C,MX3,0.0006051755626685917,0,2 5 8 7 46 7 56 6 19,Cr C Zr C Zr C Mo,,
Nb,Sc,,,Mo,N,MX2,0.0007763651665300131,0,1 4 13 7 31 7 19,Nb N Sc N Mo,,
Ta,,Nb,Ti,Ta,C,MX3,0.000981485121883452,0,2 5 14 6 43 6 55 6 24,Ta C Nb C Ti C Ta,,
W,,Nb,Nb,Mo,C,MX3,0.00153400341514498,0,2 5 10 6 43 6 53 6 19,W C Nb C Nb C Mo,,
W,,V,Ti,W,N,MX3,0.025619085878133774,0,2 5 10 7 42 7 55 7 20,W N V N Ti N W,,
Cr,,V,V,Mo,C,MX3,0.0007216235972009599,0,2 5 8 6 42 6 52 6 19,Cr C V C V C Mo,,
